GAME_ID,home_score_mean,home_score_std,home_score_min,home_score_max,home_score_last_1,home_score_last_2,home_score_last_3,score_margin_mean,score_margin_std,score_margin_min,score_margin_max,score_margin_last_1,score_margin_last_2,score_margin_last_3,pred_outcome_mean,pred_outcome_std,pred_outcome_min,pred_outcome_max,pred_outcome_last_1,pred_outcome_last_2,pred_outcome_last_3,home_win_rate,visitor_win_rate,intercept
21700822,25.44,16.164355848594774,0,52,52,49,46,-2.44,3.8165953414005003,-10,5,-8,-7,-8,0.46380436979443695,0.14110477002675542,0.20446331489284653,0.7213056010455681,0.2527604362899666,0.2871252837204312,0.2577729298879837,0.5365853658536586,0.5080645161290323,1
21700827,25.36,17.073675644101947,0,54,54,52,50,2.36,2.9241067011995305,-3,8,7,5,5,0.550843167149115,0.100449173561302,0.3626026591045601,0.7350622313032054,0.7013835524218769,0.6377672523454955,0.6385245363300319,0.3536585365853659,0.4942528735632184,1
21700832,23.88,16.90282816572422,0,58,58,55,48,-3.04,1.7545369759569047,-7,0,-2,-2,-3,0.33741198962076424,0.05930543417879585,0.21375724520032036,0.456413639017402,0.3519834044647384,0.3567876670922541,0.3253782557739905,0.3181818181818182,0.4942528735632184,1
21700837,26.32,16.97697263943133,0,55,55,51,49,3.88,2.9437391188758557,-1,10,4,0,1,0.7638667141720458,0.0745271320084179,0.6284701159989369,0.8934960393832648,0.7633120740368531,0.6410165116438485,0.6762555852810359,0.6551724137931035,0.3858267716535433,1
21700842,27.88,16.968959897412685,0,55,55,52,49,4.92,2.992256673482407,0,11,3,3,3,0.6682966963170064,0.09611816142615423,0.5083395826060071,0.8382477754011428,0.591913145515339,0.5969753511530603,0.5982665128332382,0.3406593406593407,0.37931034482758613,1
21700847,24.32,15.835959080523036,0,51,51,48,44,-0.04,3.4465054765660827,-7,7,-2,-3,-7,0.5950061029782565,0.12528058905978787,0.3324592233907799,0.8178058602471187,0.5105612955640962,0.4774381479602971,0.3324592233907799,0.632183908045977,0.5053763440860215,1
21700852,27.96,15.998699947183209,0,57,57,53,51,-3.24,3.265333061113368,-9,3,-4,-4,-2,0.3419539286607181,0.11320144528336214,0.16579857418276064,0.5770866227498087,0.2922418022753978,0.2970400600749561,0.3656239517214433,0.4942528735632184,0.7333333333333333,1
21700857,34.96,22.624729832641098,0,72,72,68,68,11.72,7.774419592484059,-2,27,24,20,27,0.7846050690319363,0.17446924582330603,0.39776326267841416,0.98021305771329,0.968320231240018,0.944209209588392,0.98021305771329,0.37931034482758613,0.5371900826446281,1
21700862,39.84,23.65532498191475,0,79,79,73,67,10.16,5.112181530423191,0,23,13,11,5,0.8230434021041749,0.09767394971963941,0.5563114325353092,0.9751151981354069,0.8859629612018647,0.8544953168809141,0.702784129411653,0.4022988505747127,0.33333333333333337,1
21700867,27.84,16.13116238837115,0,55,55,50,46,2.92,2.4152846623120845,0,8,8,3,1,0.6825747259793176,0.07034957300770944,0.5926153206511051,0.8279487334964445,0.8177397174898535,0.6810266956980233,0.6127381048576922,0.43678160919540227,0.26436781609195403,1
21700872,33.6,20.721003836687064,0,67,67,64,63,8.6,5.169139193328035,-1,18,13,11,11,0.8488319979310048,0.09544910441032219,0.6233004790304467,0.9666997492113188,0.9251795552326072,0.9028041857033352,0.9029085252299079,0.7840909090909091,0.5862068965517241,1
21700877,24.68,15.647926380194917,0,51,51,46,45,-2.68,4.5670121523814675,-9,5,-1,-5,1,0.5104440523583301,0.16302827518215668,0.286083815967324,0.7700201636704187,0.5596852610033067,0.4135834700553065,0.6395402359918451,0.6551724137931035,0.5080645161290323,1
21700882,23.24,14.806160879849982,0,47,47,45,41,-5.12,2.804567702873297,-11,0,-4,-6,-10,0.3987996841177431,0.10056933328722298,0.20178991343578856,0.5982238208568329,0.4202853858230345,0.3521024414196608,0.2285379923945573,0.5934065934065934,0.4942528735632184,1
21700887,20.4,14.235167719419396,0,50,50,45,39,0.76,2.874439075715469,-5,7,7,6,0,0.6710880454212191,0.08892217516430478,0.4589732583511539,0.8423826441382106,0.8360426697685112,0.8176778003582341,0.6435902549116981,0.7840909090909091,0.5862068965517241,1
21700892,30.68,21.40788639730695,0,68,68,65,61,12.56,11.092628182716664,-2,29,29,28,26,0.7819968063006484,0.1926837358568059,0.4495175978984723,0.987969535140294,0.987969535140294,0.9862876274083412,0.9815847966158788,0.43678160919540227,0.4712643678160919,1
21700897,22.16,14.731408622395891,0,46,46,45,42,-6.88,5.022509332992822,-16,1,-16,-15,-15,0.3705031828480188,0.16637112988030728,0.11110160404218793,0.6439427252564858,0.11110160404218793,0.12907515623278304,0.12967995074497493,0.5245901639344263,0.33333333333333337,1
21700902,26.12,15.582862381475362,0,55,55,52,50,-7.56,5.26938326562037,-15,2,-8,-10,-9,0.30140056183453723,0.16835923168462358,0.10732814498006574,0.6342678484689444,0.249150529430787,0.1995248707692586,0.2257566357181299,0.4022988505747127,0.3181818181818182,1
21700907,25.68,15.800556952208996,0,50,50,48,48,-0.36,3.4044676529525137,-9,7,0,0,1,0.4790276185185393,0.11985910109484903,0.19887000326257268,0.7375400564495997,0.4752527016022924,0.47997028320582,0.5181161802306767,0.43678160919540227,0.5365853658536586,1
21700912,29.04,19.582604525445536,0,58,58,58,53,3.48,4.464258057057187,-6,10,8,10,7,0.6221409123618438,0.14852726832486865,0.29525855625409564,0.8152488187692415,0.7618116993991668,0.8152488187692415,0.7375662320359084,0.4942528735632184,0.5862068965517241,1
21700917,22.76,15.690200763533907,0,53,53,53,44,-6.64,4.533254901282301,-16,1,-3,1,-8,0.2549847476648806,0.11980510249224735,0.0689727935643509,0.4811270260168218,0.3308174530541345,0.4811270260168218,0.19160029597347908,0.5371900826446281,0.7840909090909091,1
21700922,28.04,18.4314513807242,0,57,57,54,54,-6.28,4.737256590052938,-14,1,-13,-12,-10,0.37549074136291316,0.1630504861055816,0.14457965737869966,0.6339016320253359,0.15685159706408155,0.18134132307689188,0.2312849992163245,0.5053763440860215,0.33333333333333337,1
21700927,25.08,13.365388135029974,0,46,46,46,43,-3.4,3.847076812334269,-10,3,-10,-6,-7,0.36214384060094834,0.13254796928195953,0.15626915132697178,0.5999759015982046,0.15626915132697178,0.25782742959719795,0.2305017179883765,0.3406593406593407,0.43678160919540227,1
